#,Date-time,Nest,Ambient
4979,09/10/11 06:15:44 PM,36.498,20.984
4980,09/10/11 06:16:44 PM,36.335,21.008
4981,09/10/11 06:17:44 PM,36.444,21.032
4982,09/10/11 06:18:44 PM,36.308,21.103
4983,09/10/11 06:19:44 PM,36.525,21.079
4984,09/10/11 06:20:44 PM,36.525,21.032
4985,09/10/11 06:21:44 PM,36.905,21.175
4986,09/10/11 06:22:44 PM,36.933,21.151
4987,09/10/11 06:23:44 PM,36.96,21.175
4988,09/10/11 06:24:44 PM,36.796,21.127
4989,09/10/11 06:25:44 PM,36.905,21.032
4990,09/10/11 06:26:44 PM,36.905,21.103
4991,09/10/11 06:27:44 PM,37.042,21.127
4992,09/10/11 06:28:44 PM,37.015,21.246
4993,09/10/11 06:29:44 PM,36.933,20.984
4994,09/10/11 06:30:44 PM,36.227,21.008
4995,09/10/11 06:31:44 PM,36.471,21.079
4996,09/10/11 06:32:44 PM,36.552,20.984
4997,09/10/11 06:33:44 PM,36.688,20.96
4998,09/10/11 06:34:44 PM,36.552,21.056
4999,09/10/11 06:35:44 PM,36.389,20.936
5000,09/10/11 06:36:44 PM,36.335,21.079
5001,09/10/11 06:37:44 PM,36.444,20.96
5002,09/10/11 06:38:44 PM,36.715,21.008
5003,09/10/11 06:39:44 PM,36.878,21.079
5004,09/10/11 06:40:44 PM,36.851,21.056
5005,09/10/11 06:41:44 PM,36.987,21.079
5006,09/10/11 06:42:44 PM,37.178,21.079
5007,09/10/11 06:43:44 PM,37.069,21.079
5008,09/10/11 06:44:44 PM,37.096,21.056
5009,09/10/11 06:45:44 PM,37.261,21.032
5010,09/10/11 06:46:44 PM,37.124,21.103
5011,09/10/11 06:47:44 PM,37.015,21.008
5012,09/10/11 06:48:44 PM,36.769,20.96
5013,09/10/11 06:49:44 PM,36.905,20.841
5014,09/10/11 06:50:44 PM,36.933,21.032
5015,09/10/11 06:51:44 PM,36.96,20.889
5016,09/10/11 06:52:44 PM,36.769,20.96
5017,09/10/11 06:53:44 PM,36.905,20.913
5018,09/10/11 06:54:44 PM,36.905,20.817
5019,09/10/11 06:55:44 PM,36.987,20.936
5020,09/10/11 06:56:44 PM,37.042,20.746
